bestdead,AY,Animal_ID,Herd,Cause_Mort,CausMortAcc,Evidence,Comments,CarcassCon
20110523,2011,S133,Mt. Williamson,Unknown,,There was no apparent sign of predation. Possible physical injury or disease could have been the culprit.,"Along with this ewe, I also found four lamb legs. After viewing pictures, Jeff Davis believes that the lamb was unborn. Tooth from 133 was pulled.",Scavenged
20110419,2010,S34,Sawmill Canyon,Unknown,,,,Consumed
20110412,2010,S157,Mt. Warren,Avalanche,Possible,Collars found in avalanche debris. Death possibly due to slide.,,Consumed
20110412,2010,S184,Mt. Warren,Capture,Unknown,,Caused changed from Unknown to Capture by AF on 12/06/2011--After capture only small movements were recorded by NS collar.  Likely capture myopathy.,Scavenged
20110411,2010,S125,Sawmill Canyon,Unknown,,,,
20110401,2010,S102,Wheeler Ridge,,,,Animal censored--hasn't been seen for over a year.,
20110401,2010,S158,Mt. Warren,Unknown,,,"Body recovered, intact, via helicopter during capture. Taken to WIL for necrospy.",Intact
20110331,2010,S183,Mt. Warren,Capture,Certain,Animal died shortly after release. T. Glenner witnessed her fall off cliff face to her death.,"Body recovered, transported back to base camp via helicopter and taken to WIL.--Cause changed from Physical Injury to Capture by AF on 12/06/2011",Intact
20110316,2010,S151,Wheeler Ridge,Avalanche,Certain,buried in deep snow slide in March,ram was solo when died based on what was found when he melted out.,Scavenged
20110213,2010,S56,Mt. Langley,Unknown,,,,Consumed
20110112,2010,S141,Mt. Baxter,Avalanche,Certain,"At bottom of avalanche debris slope, snow still in chute & slope above 35-40 deg, animal jaw twisted from trauma, horns broken ,see photo)","Detected in January, retrieved late since only VHF collar - died in avalanche",Scavenged
20110107,2010,S26,Mt. Warren,Unknown,,,mid-winter It is worth sending a small crew back up there to scour the area again to look for remains and GPS collar,
20110107,2010,S27,Wheeler Ridge,Avalanche,Certain,,This animal was locateed very near the huge avalanche that killed many sheep,Scavenged
20110107,2010,S96,Wheeler Ridge,Avalanche,Certain,,"The animal has been buried in avi debris all winter, spring and summer. She just recently melted out.",Consumed
20110101,2010,S20,Mt. Warren,Avalanche,Probable,The animal was located in avalanche debris,The collar was not functioning due to a missing antenna. Animal was located using Northstar points. Dead Date estimated to reflect winter death (AF).,Scavenged
20110101,2010,S97,Mt. Warren,Avalanche,Probable,found in avalanche runout after severe winter where there were lots of avalanches,"Rumen contents right below bottom of talus, most hair and bones in trees 15 m lower. At bottom of talus additional avalanche debris.  Carcass likely scavenged after death by avalanche. No predator sign found, One ear tag Blue 62 found. AF Added dead date.",Scavenged
20101226,2010,S104,Wheeler Ridge,Malnutrition,Certain,Deep snow,Dennis Jensen had been watching for the past 4 days.,Intact
20101220,2010,S93,Wheeler Ridge,Avalanche,Certain,Located in avalanche debris,Animal was well preserved due to a deep burial in a snow avalanche. Organs showed no signs of disease. Animal was not pregnant.,Intact
20101220,2010,S95,Wheeler Ridge,Avalanche,Certain,Located in avalanche debris,"Animal was well preserved, due to a deep burial in a snow avalanche. Organs showed no signs of disease. This animal was pregnant.",Intact
20101130,2010,S153,Mt. Warren,Unknown,,hypothesize that S153 and S83 fell on ice sheet in Nov 2011,"retreived in July because of heavy snowpack, detected in Nov 2010--AF 12/06/2011 potential slip on ice layer that developed in November 2010",Consumed
20101130,2010,S83,Mt. Warren,Unknown,,hypothesize that ewes slipped on ice (S83 and S153 appear to have died at about the same time),retrieval took so long because of deep snowpack--AF 12/06/2011 potential slip on ice layer that developed in November 2010,Consumed
20100910,2010,S147,Mt. Langley,Unknown,,Ribs and large bones not eaten.,,Consumed
20100709,2010,S23,Wheeler Ridge,,,,Censor - not seen or heard for 18 months last seen 6/9/2010 - Censored DWG 2/23/2012,
20100529,2010,S32,Sawmill Canyon,,,,Censor - last heard 4/29/10,
20100516,2010,S28,Wheeler Ridge,,,,Censor - not seen or heard for 18 months last seen 4/16/2010  - Censored DWG 2/23/2012,
20100417,2009,S122,Mt. Warren,Unknown,,"Signs of scavenging and (potential) predation, but too much time has elapsed which prevented us from making a solid conclusion.","Site investigated by J.O. on 5/17/10. Scat present near site: bear, bobcat, lion. Location of skull: 305897 4212736",Consumed
20100403,2009,S164,Mt. Baxter,Lion,Certain,"Lion located, killed within 50m of carcass.",Jeff Davis located and killed male lion with non-functional Telonics? Collar,Consumed
20100315,2009,S24,Wheeler Ridge,Unknown,,none,"first heard d jensen in am, located by mark kiner and ostergard",Intact
20100227,2009,S127,Sawmill Canyon,Unknown,,No evidence found; lion tracks male lion; L89 was caught near cache site.,VHF and GPS collars located approximately 50ft apart from one another.,
20100201,2009,S9,Wheeler Ridge,Unknown,,"at base of small rock incline wedged between two rocks (see pictures). No broken bones, no fecal pile","died of old age? Necropsied and collected 3 back leg bones, kidney liber spleen lung samples. They looked viable but were >8 days old. Snow preserved them? Only counted 9 horn rings.",Intact
20100131,2009,S149,Wheeler Ridge,Lion,Probable,"tracks, possible drag mark.",could have been killed or scavenged by lions if it died of old age. Was in poor condition when captured <12 mos ago,Consumed
20091130,2009,S61,Mt. Warren,,,,Censor -Last observed 10/30/09 - censored 2/27/12,
20091030,2009,S154,Mt. Warren,Capture,Certain,Possible laceration of neck artery or vein,,Intact
20091013,2009,S118,Wheeler Ridge,Unknown Poss Predation,,"Hair pile under tree where lion would likely have cached it, lion scat 10m from hair pile, fresh scat","bear scat and tracks also present, coyote and bird sign around hair pile, Ostergard examined kill, sheep hair found in lion, ber and coyote scat, lion and bear scat collected, collar found at UTM 351120 4144424",Scavenged
20090930,2009,S107,Mt. Baxter,Lion,Certain,appeared to have been dragged. Right eye filled with dirt. Throat was chewed open. Blood spattered on collars. Lion feeding sign: ribs clipped at spine.,jeff davis investigated mort 10/3/09. found tracks on top of derek and my tracks as if lion left the canyon. Lion did feed again on hind quarters.,Consumed
20090429,2008,S132,Mt. Baxter,Lion,Certain,Investigated by Jeff O. Cat tracks leading from mort site to latrine. Possible kill site found 30m up slope with hair and blood found between blood splatter and carcass,Femur was not found but next largest leg bone grabbed. This report may be augmented by Jeff O.,Consumed
20090405,2008,S80,Mt. Langley,Capture,Certain,,Tibia/fibula fracture (see pics),
20090327,2008,S134,Mt. Williamson,Lion,Certain,,confirmed lion kill by JD. Scat with bones and hair. Older pile of bone/scat found nearby.,Consumed
20090314,2008,S124,Sawmill Canyon,Unknown,,,"starting 3/10/09 GPS points form cluster 385 meters to north. 3/16/09 collar moved to location where it was found (10,948ft).",
20090311,2008,S53,Mt. Langley,Lion,Certain,"bite marks to skull and chipping in mandible, collars covered in duff, several lion latrines found in immediate area","JD collared this lion on 3/24 on way in to morth.  He is fairly certain 160.005 killed S53.  S53 was also fed on by bear.  Found another site about 30 m away with copious amts of hair at 395639, 4043587 (confirmed to not be a kill)",Consumed
20090222,2008,S131,Mt. Baxter,Lion,Certain,"lion prints, cached, drag marks, consumed, bruising on neck. Small male track (L115) and female (L93 < 2miles south) tracks present. No positive ID on lion",additional neck injury from GPS collar.,Consumed
20090218,2008,S136,Mt. Williamson,Physical Injury,Certain,"She was under a sheer cliff, wedged under a bush with her neck twisted back towards her rear end",See full necropsy form for further info.  All important organs were taken.  A whole fron let and back leg were taken for marrow analysis. Incisors removed for aging.,Intact
20090218,2008,S51,Sawmill Canyon,Physical Injury,Certain,"horn sheath missing on left side, horn core crushed as well as eye, cut going down snout. Trauma under skin on left side.  Blood coming out of nose.  Most likely fell off cliff.","She was pregnant.  Fetus was taken to the office.  Entire rear leg was taken to do marrow comparison analysis, kidneys had good amt of fat, marrow was healthy.",Intact
20090210,2008,S55,Mt. Langley,Unknown,,,VHF location was used for UTM above.  GPS collar 10 yards above VHF. Rumen conten 10 yards down from VHF.,Scavenged
20090208,2008,S41,Mt. Warren,Unknown,,"not avalanche, roadkill, or rock fall.","coyotes picked this site clean, it should be investigated again when the snow melts out.  20' hole was dug in the area.",Consumed
20090115,2008,S64,Wheeler Ridge,Lion,Probable,"scat found in the area at site, large bones eaten",lion scat found at and around mort site. Tracks were old in the snow.,Consumed
20090103,2008,S59,Sawmill Canyon,Bobcat,Certain,"J Davis skinned out head.  Noted tearing biting on back of neck, puncture wounds on face, bruising on neck all indicating bobcat kill.",saw bobcat 50 feet away from kill (see Davis' necropsy report attached to mort form,Intact
20081227,2008,S31,Mt. Baxter,Lion,Certain,Puncture found in hide of neck.  Remains of carcass are not messy.  Large leg bones broken and chewed. Braincase open and brain consumed,A download of Lion 89 is being attempted,Consumed
20081226,2008,S137,Mt. Baxter,Rock Fall,Certain,"broken cervical vertebratea and massive hemorrhaging around break site, no predator bite marks on neck to suggest different.  Other predator (not scavenger) signs not found.","Deaddate from GPS cluster. Carcass dragged 2100' by MK.  On 1/7/09 MK, JD, and TS performed a field necropsy, pellets also collected.  Eagles and crows also scavenged carcass.  Final conclusion  was trauma from fall and scavengers came later.",Scavenged
20081225,2008,S30,Mt. Baxter,Lion,Certain,"""classic"" kill, drag, tracks, pile of hair (tidy), broken femurs;  L89 likely responsible (not verified) - frozen tracking conditions made sex of lion unclear","Kill was located from sheep mort signal.  Jeff Davis hiked to mort to verify lion kill, colleted hair (lion?), mandible, and skull; L89 likely responsible (not verified)",Consumed
20081127,2008,S119,Wheeler Ridge,Unknown,,it appeard the animal died before snowstorms occurred ~30 days prior to finding carcass.,tracks and scat were from coyotes. The skull and other remains ~1m from where carcass apreared to have been dug out.,Scavenged
20080822,2008,S121,Wheeler Ridge,Old Age,Probable,"12 yr old ram, no signs of predators (i.e. no caching, no tracks or scat, no large bones eaten).",left carcass as is to see how aging of carcass occurs.,Scavenged
20080805,2008,S47,Mt. Williamson,Lion,Certain,"Lion not identified.  3 scats (bear?) next to carcass (scats are large, filled with grass and hair). Skull and mandible found 30 plus feet from carcass. VHF collar buried in pine duff. J Davis investigated.","Scat collected for verification, but probably bear. Scavengers had been to mort site with skull and mandible found away from the carcass. Femur was not collected bc both had been broken into. J Davis confirmed as Lion Kill  on subsequent investigation",Scavenged
20080617,2008,S39,Mt. Langley,Unknown,,"Unknown, it appeared that se bedded down and died. Large hair pile and rumen found 10 m upslope from legs and lower jaw.",,Consumed
20080602,2008,S117,Wheeler Ridge,Unknown,,"Large carnivore fed on S117, but not certain a lion kill. Carcass cached under a tree, vertebrae, horn core, leg boneswere chewed on, carcass in forested area (50-70% trees, 61-100% shrubs). Photos U:/bighorn/photos_bighorn/mortality/2008/S117_wheeler","No obvious tracks, scat or drag marks were found within 50 meters of the area. Skull was left behind because it was so chewed up. Signs show typical bear feeding. Photo descriptions are in a word document in folder S117_wheeler_7.1.08.",Consumed
20080423,2007,S120,Wheeler Ridge,Capture,Certain,stopped moving hours after capture- max temp 107.7,"Necropsy (Jennifer) -  no signs of unused injuries, condition slight clots on heart/ lungs (very small) lividity on back and upper organ sides due to position of death, kidney fat/heart fat present. Appears healthy prior to capture/",Intact
20080416,2007,S87,Mt. Langley,Unknown,,none,Maybe worth investigating again. More remains might be found. This animal did have a GPS collar that failed to emit a signal. Data could be on the collar.,Consumed
20080314,2007,S109,Mt. Baxter,Physical Injury,Certain,"injury from fall; contorted position, broken ribs & pelvis; ruptured rumen","neither lion signal was heard; no lion sign found; ewe was carrying a female fetus; necropsy showed pulmonary hemorrhage, multifocally extensive (consistent with fall / physical injury)",Intact
20080310,2007,S111,Wheeler Ridge,Lion,Certain,"clipped ribs, carcass has canine punctures in base of skull/vertebre, several lion scats, femur cracked and eaten","pink ear tag #38 found in hair pile, bobcat scat also found near carcass, flown to site in helicopter (Steve DeJesus) pictures located: M:\SNBSData\Pictures_JPG\SoldierCyn_mort 3_14_08; VHF  collar freq. 159.138",Consumed
20080228,2007,S74,Mt. Warren,Unknown,,emaciated and 0 body fat,"animal was necropsied, no obvious evidence of disease; 0 body fat; emaciated;  Appears to have laid in the creek bed and died.  No predator or scavenging visible.  Copper deficiency(in liver) & spelenic hemosiderosis (from necropsy) --",Intact
20080216,2007,S60,Mt. Warren,Unknown,,unknown,Speculation that malnutrition based on hair pile in the middle of bed in a circle. No sign of predation,Scavenged
20080216,2007,S77,Mt. Gibbs,Unknown,,unknown coyotes clearly scavanged the carcass ram was old long bones intact (prob. Not lion),,Consumed
20080211,2007,S73,Sawmill Canyon,Lion,Certain,"Large tom cat tracks leading right to carcass slight bruising on back of skull, puncture wounds in neck, vert. consumed and chewed on",Old injury on bighorn's back right foot made foot look club like (see photo);  ~ 35 m from M 31cache; ~ 280 m from M32 cache; all 3 kills same time frame,Consumed
20080127,2007,S99,Mt. Warren,Unknown,,,"Coyote scat about from apparent scavenging.  Found VHf and GPS collars, hair and tiny bone fragments. Helicopter",Consumed
20080125,2007,S19,Wheeler Ridge,Unknown,,"see pictures, obviously the animal has been scavenged, but cause cannot be determined while covered with snow","collected 2 collars, head, 2 femurs",Consumed
